id,application_date,tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan,avg_loan_amnt,loan_frequency
2925930,2024-02-13 05:44:13.328,-3,-1.0,-3,-1.0,-1.0
2925931,2024-02-13 05:44:21.629,-3,-1.0,-3,-1.0,-1.0
2925932,2024-02-13 05:44:22.744,-3,-1.0,-3,-1.0,-1.0
2925933,2024-02-13 05:44:22.868,-3,-1.0,-3,-1.0,-1.0
2925934,2024-02-13 05:44:06.645,-3,-3.0,1357,0.0,10.58695652173913
2925935,2024-02-13 05:44:23.559,1,491809096.0,118,81968182.66666667,1.5282426778242677
2925936,2024-02-13 05:44:24.701,-3,-1.0,-3,-1.0,-1.0
2925937,2024-02-13 05:44:12.764,-3,-3.0,195,50400000.0,0.6697738386308068
2925938,2024-02-13 05:44:31.284,-3,-1.0,-3,-1.0,-1.0
2925939,2024-02-13 05:44:11.658,-3,3281945205.0,151,3281945205.0,-3.0
2925940,2024-02-13 05:44:21.629,-3,-1.0,-3,-1.0,-1.0
2925941,2024-02-13 05:44:33.747,-3,-1.0,-3,-1.0,-1.0
2925942,2024-02-13 05:44:34.186,-3,-1.0,-3,-1.0,-1.0
2925943,2024-02-13 05:44:37.477,-3,-3.0,1357,0.0,10.58695652173913
2925944,2024-02-13 05:44:23.559,1,491809096.0,118,81968182.66666667,1.5282426778242677
2925945,2024-02-13 05:44:37.477,-3,-3.0,1357,0.0,10.58695652173913
2925946,2024-02-13 05:44:50.151,-3,-1.0,-3,-1.0,-1.0
2925947,2024-02-13 05:44:54.247,-3,3281945205.0,151,3281945205.0,-3.0
2925948,2024-02-13 05:45:02.666,1,-3.0,-3,-1.0,-1.0
2925949,2024-02-13 05:44:54.247,-3,3281945205.0,151,3281945205.0,-3.0
2925950,2024-02-13 05:45:07.161,-3,-1.0,-3,-1.0,-1.0
2925951,2024-02-13 05:45:02.666,1,-3.0,-3,-1.0,-1.0
2925952,2024-02-13 05:45:17.965,-3,-1.0,-3,-1.0,-1.0
2925953,2024-02-13 05:45:31.940,-3,3319227081.0,71,276602256.75,3.8046875
2925954,2024-02-13 05:45:31.940,-3,3319227081.0,71,276602256.75,3.8046875
2925955,2024-02-13 05:46:08.928,1,-3.0,-3,-1.0,-1.0
2925956,2024-02-13 05:46:08.928,1,-3.0,-3,-1.0,-1.0
2925957,2024-02-13 05:46:35.477,-3,-1.0,-3,-1.0,-1.0
2925958,2024-02-13 05:46:38.967,-3,-1.0,-3,-1.0,-1.0
2925959,2024-02-13 05:46:51.901,-3,-1.0,-3,-1.0,-1.0
2925960,2024-02-13 05:47:07.460,-3,4681739639.0,88,334409974.21428573,3.0420599666851746
